ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,date
1,83,83,85,82,€0,€2.1B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,7,33,24.91,23.27,2024-07-08
11,81,78,78,82,€0,€4.8B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,8,33,24.18,24.18,2024-07-08
241,84,84,84,84,€0,€4.3B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,10,33,27.91,23.24,2024-07-08
10,85,86,87,84,€0,€4.6B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,10,28,26.82,24.5,2024-07-08
243,85,87,86,84,€0,€4.8B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,10,33,26.36,24.52,2024-07-08
5,79,81,79,79,€0,€2.9B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,7,33,22.0,21.42,2024-07-08
1362,83,83,84,83,€0,€0,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,9,26,27.0,26.69,2024-07-08
21,84,90,84,83,€0,€3.8B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,9,33,26.91,24.36,2024-07-08
44,83,83,83,82,€0,€1B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,8,26,28.82,27.77,2024-07-08
73,83,84,81,81,€0,€4.2B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,9,30,23.09,24.47,2024-07-08
45,80,81,80,80,€0,€2B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,9,29,26.64,24.97,2024-07-08
2,81,83,79,78,€0,€695.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,5,33,25.73,24.12,2024-07-08
